X,Y,token
16.477798,-15.183491,emma
21.866116,-11.4485655,by
18.342402,-13.570197,jane
3.2575138,27.168446,volume
13.583148,17.536863,i
-11.690895,11.020058,chapter
5.5222445,12.943996,handsome
2.3528292,-8.3574,clever
13.638907,3.4694011,and
1.4526124,-4.7205615,rich
-8.648571,10.54982,with
-7.9941654,-30.51976,a
17.755356,-8.5316105,comfortable
14.457978,13.483466,home
3.0276809,-2.0326529,happy
-5.372059,6.666469,disposition
0.88395715,16.97581,seemed
-3.9643168,5.884274,to
23.697554,19.438187,unite
-19.053656,-3.0915027,some
18.897696,14.630916,of
16.21931,1.9230351,the
2.7214367,-8.022506,best
19.109024,17.933018,blessings
-16.579918,-8.043839,existence
-28.895159,10.356394,had
-26.660446,14.3342285,lived
-10.541983,-7.0345306,nearly
-6.529207,-2.7151802,twenty
-20.735922,-18.06521,one
5.408477,-10.13036,years
-11.391363,-7.1808324,in
-13.003193,11.63445,world
22.828032,-0.43896103,very
-2.5919328,15.572654,little
9.918951,6.7946715,distress
6.5431757,-0.054924753,or
-12.271692,-3.285698,vex
-12.482924,-19.45656,her
13.640626,-7.106817,she
21.387297,-0.15975977,was
-21.321604,3.3574066,youngest
15.688554,14.751483,two
13.856383,10.056374,daughters
-0.032199044,11.055042,most
7.4185057,1.1721802,affectionate
3.3346343,-2.0418444,indulgent
-3.9225214,13.745103,father
20.92198,20.124002,consequence
9.341755,13.730263,sister
24.908804,0.7244762,s
-2.4899635,-6.9933367,marriage
14.810762,-0.06907961,been
-11.07531,-20.610025,mistress
2.648342,1.6225793,his
-25.765505,5.602567,house
11.751607,20.452953,from
-9.487937,12.112941,early
-5.381217,-19.946634,period
23.097635,-1.1855673,mother
-5.459464,-8.576459,died
-3.0175622,28.155441,too
21.525541,5.565423,long
14.761622,1.4713533,ago
-14.255196,-16.927464,for
4.5819545,-12.782057,have
15.456233,15.35762,more
-12.671322,18.162094,than
-15.8911085,-3.0025349,an
15.214584,-10.307636,remembrance
32.226677,-5.432779,place
10.526356,1.4327259,supplied
13.443644,-21.964363,excellent
9.1535,18.936264,woman
-7.074768,-18.50548,as
-11.00926,-29.929422,governess
-13.737732,-8.592576,who
-30.854319,13.677897,fallen
13.683306,0.43373343,short
-8.835897,-0.49004516,affection
7.9091096,18.993082,sixteen
-24.981554,17.249681,miss_taylor
-4.8131166,18.462732,mr_woodhouse
-19.224241,-16.974686,family
4.0419397,2.6547058,less
7.772554,-21.600262,friend
-3.8545144,-21.90463,fond
21.00799,8.353753,both
-19.29023,22.21011,but
-6.473699,-21.439184,particularly
-18.970348,-4.4602532,between
-20.193506,5.8130765,it
-30.712008,-10.655267,intimacy
20.625837,-9.766487,sisters
2.1884248,16.725925,even
-9.327756,-9.716833,before
5.341049,-18.31614,ceased
-6.4340734,7.7720704,hold
11.372664,-11.372993,office
-20.045301,3.275778,mildness
-23.707804,-2.6484103,temper
21.979292,-7.2009315,hardly
7.6065435,27.121374,allowed
-23.848783,-6.993028,impose
11.534193,11.498378,any
-13.517741,0.9414047,restraint
6.220919,1.7922311,shadow
-23.237312,9.89278,authority
18.434862,23.941183,being
-10.451134,14.209427,now
21.493467,9.259533,passed
15.297128,2.2036378,away
26.176497,-4.9882693,they
-24.9283,17.248537,living
12.194647,11.308862,together
3.3136837,24.373976,attached
24.93482,-8.621935,doing
-8.446876,1.6246524,just
16.27372,14.3987,what
-18.283184,12.432635,liked
11.745844,19.535234,highly
-3.9541903,-22.071634,judgment
-10.0561075,-0.028357718,directed
9.730954,-14.459055,chiefly
15.109146,26.11945,own
30.959187,-0.53222525,real
-8.497664,-9.143686,evils
7.7766075,-9.180712,indeed
13.729923,22.783207,situation
27.173742,-11.389321,were
10.217085,-23.675386,power
10.150318,-3.4509187,having
-16.153418,0.33413115,rather
3.749224,33.846645,much
5.50088,-1.4751449,way
-3.9721007,-16.703388,think
-10.022622,-7.6811423,well
17.055069,-7.310104,herself
-3.6888595,-5.7339115,these
3.4169455,-4.8843813,which
7.239008,-20.626307,threatened
-8.084906,14.270709,many
-7.091945,1.8584596,enjoyments
18.27555,12.123827,danger
5.442022,-9.40685,however
-4.7944055,-23.062244,at
19.295862,-0.83061105,present
-16.164078,-15.445293,so
13.962644,-1.5286671,that
-2.5739348,-12.202761,did
20.402695,-15.722054,not
-3.8256137,-9.480407,means
9.125293,-14.065505,rank
-9.332445,-2.0096176,sorrow
-16.500193,-5.010501,came
