X,Y,token
-29.175303,6.945189,[
-3.498316,31.170889,Emma
17.35692,12.952902,by
-2.2353,31.697538,Jane
-29.14861,6.953661,]
-17.12359,3.3552005,I
-29.304161,6.7965016,CHAPTER
-1.4468457,31.757868,Woodhouse
17.221405,13.100752,","
-7.7382336,14.7351465,handsome
-11.428819,15.303651,clever
17.25694,13.073379,and
-1.5991868,0.9070108,rich
17.348795,12.9342985,with
17.561787,13.762705,a
-12.033747,17.176403,comfortable
3.389855,25.671679,home
-13.315213,5.75803,happy
-9.5047865,19.831686,disposition
18.749582,10.596284,seemed
17.190323,13.23936,to
-8.959763,12.856271,unite
9.623538,6.705207,some
17.33957,12.995139,of
17.354841,13.189161,the
-14.038805,7.8085747,best
-8.67773,-7.971969,blessings
-5.278858,13.57661,existence
17.1724,13.160388,;
13.450916,16.674486,had
1.5723145,-9.461392,lived
8.99724,12.339982,nearly
10.867541,-28.834469,twenty
19.817505,-0.52632695,-
11.871414,11.981,one
1.8395512,-9.297449,years
17.39348,12.909753,in
-1.5762347,4.0017204,world
-13.138066,10.294697,very
18.44442,18.568003,little
-12.901697,24.091906,distress
17.293716,12.841426,or
-15.879348,-6.9204974,vex
12.417792,27.735348,her
16.50733,13.450088,.
12.34898,27.835384,She
13.135535,16.607435,was
-9.224923,-26.0421,youngest
3.5465198,-10.129262,two
-7.8601537,-27.039045,daughters
1.3830096,10.483674,most
-6.4405565,23.79037,affectionate
-10.331905,-1.018378,indulgent
-15.694873,-27.404015,father
-11.823689,21.37948,consequence
-15.7169285,-27.418526,sister
13.051948,12.840732,'
13.420691,12.999547,s
-2.404864,27.970842,marriage
-0.08754214,17.424953,been
-14.641581,14.5110035,mistress
15.773166,14.350056,his
1.350267,-19.44135,house
17.471916,12.835548,from
7.6948156,18.834377,early
-2.7332845,27.242193,period
-5.0046043,22.243727,Her
-15.712299,-27.411684,mother
-8.580664,-27.389984,died
-13.155249,10.321895,too
19.795685,6.797054,long
1.993604,-9.128594,ago
16.847761,13.866328,for
13.5743685,16.72494,have
-2.142822,5.558081,more
-2.1664205,5.5480533,than
17.831356,13.886749,an
-13.449452,-2.2547665,remembrance
1.4712542,-19.764147,place
-1.3192899,17.369598,supplied
-16.065125,23.095583,excellent
-2.455155,-10.608767,woman
18.01542,14.836017,as
-14.509668,14.588799,governess
12.90122,16.427399,who
-4.044259,-11.4738035,fallen
3.800788,16.077131,short
-10.205878,23.050219,affection
